series,episode,name,date,player,total
1,1,Melon buffet.,2015-07-28,Roisin Conaty,7
1,1,Melon buffet.,2015-07-28,Josh Widdicombe,13
1,1,Melon buffet.,2015-07-28,Tim Key,17
1,1,Melon buffet.,2015-07-28,Frank Skinner,19
1,1,Melon buffet.,2015-07-28,Romesh Ranganathan,19
1,2,The pie whisperer.,2015-08-04,Frank Skinner,9
1,2,The pie whisperer.,2015-08-04,Romesh Ranganathan,14
1,2,The pie whisperer.,2015-08-04,Josh Widdicombe,16
1,2,The pie whisperer.,2015-08-04,Tim Key,18
1,2,The pie whisperer.,2015-08-04,Roisin Conaty,21
1,3,The poet and the egg.,2015-08-11,Roisin Conaty,9
1,3,The poet and the egg.,2015-08-11,Frank Skinner,15
1,3,The poet and the egg.,2015-08-11,Tim Key,16
1,3,The poet and the egg.,2015-08-11,Josh Widdicombe,22
1,3,The poet and the egg.,2015-08-11,Romesh Ranganathan,22
1,4,Down an octave.,2015-08-18,Roisin Conaty,9
1,4,Down an octave.,2015-08-18,Tim Key,9
1,4,Down an octave.,2015-08-18,Romesh Ranganathan,10
1,4,Down an octave.,2015-08-18,Frank Skinner,14
1,4,Down an octave.,2015-08-18,Josh Widdicombe,16
1,5,Little denim shorts.,2015-08-25,Tim Key,10
1,5,Little denim shorts.,2015-08-25,Roisin Conaty,14
1,5,Little denim shorts.,2015-08-25,Romesh Ranganathan,16
1,5,Little denim shorts.,2015-08-25,Josh Widdicombe,18
1,5,Little denim shorts.,2015-08-25,Frank Skinner,20
1,6,The last supper.,2015-09-01,Roisin Conaty,8
1,6,The last supper.,2015-09-01,Josh Widdicombe,9
1,6,The last supper.,2015-09-01,Romesh Ranganathan,12
1,6,The last supper.,2015-09-01,Frank Skinner,16
1,6,The last supper.,2015-09-01,Tim Key,18
2,1,Fear of failure.,2016-06-21,Joe Wilkinson,8
2,1,Fear of failure.,2016-06-21,Doc Brown,9
2,1,Fear of failure.,2016-06-21,Katherine Ryan,17
2,1,Fear of failure.,2016-06-21,Jon Richardson,18
2,1,Fear of failure.,2016-06-21,Richard Osman,20
2,2,Pork is a sausage.,2016-06-28,Joe Wilkinson,13
2,2,Pork is a sausage.,2016-06-28,Richard Osman,15
2,2,Pork is a sausage.,2016-06-28,Doc Brown,18
2,2,Pork is a sausage.,2016-06-28,Katherine Ryan,19
2,2,Pork is a sausage.,2016-06-28,Jon Richardson,25
2,3,A pistachio eclair.,2016-07-05,Jon Richardson,17
2,3,A pistachio eclair.,2016-07-05,Doc Brown,21
2,3,A pistachio eclair.,2016-07-05,Joe Wilkinson,25
2,3,A pistachio eclair.,2016-07-05,Richard Osman,27
2,3,A pistachio eclair.,2016-07-05,Katherine Ryan,30
2,4,Welcome to Rico Face.,2016-07-12,Richard Osman,5
2,4,Welcome to Rico Face.,2016-07-12,Joe Wilkinson,12
2,4,Welcome to Rico Face.,2016-07-12,Katherine Ryan,15
2,4,Welcome to Rico Face.,2016-07-12,Jon Richardson,17
2,4,Welcome to Rico Face.,2016-07-12,Doc Brown,18
2,5,There's strength in arches.,2016-07-19,Joe Wilkinson,11
2,5,There's strength in arches.,2016-07-19,Doc Brown,12
2,5,There's strength in arches.,2016-07-19,Jon Richardson,13
2,5,There's strength in arches.,2016-07-19,Katherine Ryan,13
2,5,There's strength in arches.,2016-07-19,Richard Osman,19
3,1,A pea in a haystack.,2016-10-04,Paul Chowdhry,8
3,1,A pea in a haystack.,2016-10-04,Dave Gorman,13
3,1,A pea in a haystack.,2016-10-04,Rob Beckett,15
3,1,A pea in a haystack.,2016-10-04,Sara Pascoe,16
3,1,A pea in a haystack.,2016-10-04,Al Murray,21
3,2,The dong and the gong.,2016-10-11,Paul Chowdhry,13
3,2,The dong and the gong.,2016-10-11,Sara Pascoe,16
3,2,The dong and the gong.,2016-10-11,Dave Gorman,17
3,2,The dong and the gong.,2016-10-11,Al Murray,18
3,2,The dong and the gong.,2016-10-11,Rob Beckett,21
3,3,Little polythene grief cave.,2016-10-18,Al Murray,9
3,3,Little polythene grief cave.,2016-10-18,Sara Pascoe,17
3,3,Little polythene grief cave.,2016-10-18,Rob Beckett,19
3,3,Little polythene grief cave.,2016-10-18,Dave Gorman,21
3,3,Little polythene grief cave.,2016-10-18,Paul Chowdhry,22
3,4,A very nuanced character.,2016-10-25,Paul Chowdhry,11
3,4,A very nuanced character.,2016-10-25,Sara Pascoe,14
3,4,A very nuanced character.,2016-10-25,Rob Beckett,15
3,4,A very nuanced character.,2016-10-25,Al Murray,16
3,4,A very nuanced character.,2016-10-25,Dave Gorman,17
3,5,The F.I.P.,2016-11-01,Sara Pascoe,9
3,5,The F.I.P.,2016-11-01,Paul Chowdhry,12
3,5,The F.I.P.,2016-11-01,Dave Gorman,13
3,5,The F.I.P.,2016-11-01,Al Murray,16
3,5,The F.I.P.,2016-11-01,Rob Beckett,17
4,1,A fat bald white man.,2017-04-25,Hugh Dennis,13
4,1,A fat bald white man.,2017-04-25,Lolly Adefope,13
4,1,A fat bald white man.,2017-04-25,Mel Giedroyc,16
4,1,A fat bald white man.,2017-04-25,Joe Lycett,17
4,1,A fat bald white man.,2017-04-25,Noel Fielding,18
4,2,Look at me.,2017-05-02,Joe Lycett,13
4,2,Look at me.,2017-05-02,Hugh Dennis,17
4,2,Look at me.,2017-05-02,Lolly Adefope,18
4,2,Look at me.,2017-05-02,Noel Fielding,18
4,2,Look at me.,2017-05-02,Mel Giedroyc,20
4,3,Hollowing out a baguette.,2017-05-09,Mel Giedroyc,3
4,3,Hollowing out a baguette.,2017-05-09,Lolly Adefope,12
4,3,Hollowing out a baguette.,2017-05-09,Hugh Dennis,15
4,3,Hollowing out a baguette.,2017-05-09,Joe Lycett,19
4,3,Hollowing out a baguette.,2017-05-09,Noel Fielding,19
4,4,Friendship is truth.,2017-05-16,Lolly Adefope,15
4,4,Friendship is truth.,2017-05-16,Hugh Dennis,17
4,4,Friendship is truth.,2017-05-16,Joe Lycett,19
4,4,Friendship is truth.,2017-05-16,Noel Fielding,23
4,4,Friendship is truth.,2017-05-16,Mel Giedroyc,24
4,5,Meat.,2017-05-23,Noel Fielding,12
4,5,Meat.,2017-05-23,Lolly Adefope,15
4,5,Meat.,2017-05-23,Joe Lycett,18
4,5,Meat.,2017-05-23,Hugh Dennis,21
4,5,Meat.,2017-05-23,Mel Giedroyc,21
4,6,Spatchcock it.,2017-05-30,Hugh Dennis,13
4,6,Spatchcock it.,2017-05-30,Joe Lycett,14
4,6,Spatchcock it.,2017-05-30,Noel Fielding,15
4,6,Spatchcock it.,2017-05-30,Mel Giedroyc,16
4,6,Spatchcock it.,2017-05-30,Lolly Adefope,19
4,7,No stars for naughty boys.,2017-06-06,Mel Giedroyc,13
4,7,No stars for naughty boys.,2017-06-06,Noel Fielding,19
4,7,No stars for naughty boys.,2017-06-06,Hugh Dennis,20
4,7,No stars for naughty boys.,2017-06-06,Joe Lycett,20
4,7,No stars for naughty boys.,2017-06-06,Lolly Adefope,20
4,8,Tony Three Pies.,2017-06-13,Hugh Dennis,13
4,8,Tony Three Pies.,2017-06-13,Lolly Adefope,13
4,8,Tony Three Pies.,2017-06-13,Joe Lycett,16
4,8,Tony Three Pies.,2017-06-13,Noel Fielding,20
4,8,Tony Three Pies.,2017-06-13,Mel Giedroyc,21
5,1,Dignity intact.,2017-09-13,Aisling Bea,13
5,1,Dignity intact.,2017-09-13,Nish Kumar,13
5,1,Dignity intact.,2017-09-13,Sally Phillips,14
5,1,Dignity intact.,2017-09-13,Mark Watson,17
5,1,Dignity intact.,2017-09-13,Bob Mortimer,18
5,2,The leprechaun or the lesbian.,2017-09-20,Bob Mortimer,16
5,2,The leprechaun or the lesbian.,2017-09-20,Aisling Bea,17
5,2,The leprechaun or the lesbian.,2017-09-20,Mark Watson,19
5,2,The leprechaun or the lesbian.,2017-09-20,Nish Kumar,19
5,2,The leprechaun or the lesbian.,2017-09-20,Sally Phillips,20
